Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1265,1865,0,0,2,515,15,36,101,108.501,85.0427,46.5612,8.46575,6.43899,3.72308, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1216.34,1820.25,0,0,2,4063,40,38,98,91.5914,73.8029,40.9328,12.8181,9.00023,5.80669, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1443.9,1501.22,1,0,2,5749,44,40,89,119.623,98.63,58.3192,21.1887,14.0572,7.32848, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1177.29,1532.6,1,0,5,6346,49,40,85,93.8552,79.1889,47.3917,13.3019,9.14193,5.54955, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1178.5,1485.5,1,0,5,517,15,42,83,99.6634,84.5783,51.294,5.35322,3.97575,3.30436, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1178.25,1446.75,1,0,5,5001,49,42,79,93.1336,79.9642,48.6687,11.0972,7.50717,4.45005, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1204.5,1371.5,1,0,5,4422,41,42,85,102.385,86.3632,51.4462,19.373,12.6909,6.77876, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2029.48,1382.9,1,0,2,7435,52,40,88,122.588,101.609,60.0759,18.0884,12.3665,6.85082, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1996.56,1297.97,1,0,2,6221,46,40,88,134.175,111.117,64.7938,22.4015,15.8617,8.17381, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1929.87,1261.65,1,0,2,740,16,38,96,175.692,141.431,81.0635,13.5068,11.0746,6.82794, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1024.38,1258.16,1,0,2,924,19,38,93,109.659,88.9491,51.0422,11.8797,8.11612,4.50067, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2209,1314.59,1,0,5,5089,51,40,90,106.752,88.3162,50.9236,18.0905,12.3603,6.62196, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,2394.46,1229.81,0,0,8,331,12,38,117,121.423,92.9063,44.7855,7.87145,5.22269,4.42894, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,852,1126,1,0,2,4765,40,44,82,79.9763,69.3853,40.6288,9.67499,6.71489,5.11815, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,842.143,1045.31,1,0,2,6224,45,46,85,80.4986,69.8074,39.883,11.7565,8.2267,5.52934, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2306.72,930.626,1,0,4,6185,46,42,96,104.25,85.7167,47.0753,15.8039,10.847,6.2128, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2230.5,884,1,0,4,4662,40,40,98,117.264,95.1293,52.4708,20.2614,13.6532,6.84648, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1494.91,783.749,1,0,2,6029,45,42,79,141.409,121.179,74.3724,23.2743,17.2255,9.38519, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1426.2,749.126,1,0,2,3235,33,40,82,134.947,113.856,68.5311,19.1882,13.2724,7.05538, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,757.81,678.978,1,0,3,714,15,42,90,95.5658,80.9188,46.063,7.81153,5.75673,4.02375, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,726.676,631.968,1,0,2,601,15,46,76,87.0566,76.7404,46.802,9.36939,6.54808,3.51168, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,739.915,612.023,1,0,2,765,17,44,76,84.6954,75.0379,46.0549,10.5816,7.22749,3.9567, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1656.69,700.99,1,0,2,6914,49,42,84,141.21,119.364,71.0431,23.8479,17.5896,9.31711, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1638.5,617,1,0,2,5426,43,42,83,129.544,109.772,65.6758,16.6003,11.8677,6.73375, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1497.07,571.618,1,0,2,8021,53,42,85,115.887,98.2946,58.1686,20.5415,13.8159,7.09747, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,890.806,552.984,1,0,2,2169,27,46,84,82.9179,72.5938,42.2024,10.2847,6.98697,4.86674, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,867.033,500.241,1,0,2,5227,45,44,84,82.7,72.2967,41.8448,12.749,9.04094,5.74551, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1947.69,487.479,1,0,2,5603,46,40,91,118.47,97.587,55.5515,21.4817,14.7372,7.4582, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1888.04,452.531,1,0,2,5189,44,40,92,119.474,98.4124,55.8971,21.2503,14.5645,7.32862, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1764.33,158.31,0,0,2,1530,25,40,92,105.571,86.7072,50.0484,14.7295,10.7695,5.52057, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1413.59,1852.66,0,0,1,8138,58,38,94,95.4935,77.4237,44.0068,14.8965,10.4285,6.29743, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1134.4,1780.7,0,0,1,4807,44,38,98,89.5284,72.4148,39.6403,12.1387,8.58976,5.93758, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1405.23,1725.15,1,0,1,6080,46,40,88,98.5053,81.7242,48.4599,13.4453,9.36955,5.85131, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1305.82,1650.8,1,0,1,6780,48,40,88,99.3348,82.2503,48.3391,15.8636,10.7959,6.2242, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1434.74,1640.98,1,0,1,4429,38,40,88,108.846,89.5764,53.336,17.8933,11.9842,6.48378, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1576.48,1556.32,1,0,1,8584,53,40,86,114.699,95.3652,56.878,18.9791,12.8381,7.06167, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1664.69,1464.09,1,0,1,3746,38,40,89,135.273,110.514,64.5846,21.9486,15.0177,7.54696, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,747.945,1176.98,1,0,1,7762,51,44,89,78.5993,67.5777,37.6224,11.3795,8.09538,6.00026, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,934.3,1122.4,1,0,1,3851,37,42,85,89.9418,76.5495,44.7499,13.8969,9.39946,5.62031, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1430.68,1102.87,1,0,1,8712,57,42,75,140.777,121.961,77.2048,23.6078,17.534,10.0951, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1321.31,1088.6,1,0,1,8534,60,42,75,123.084,107.036,67.0859,16.1617,11.2956,6.3989, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,715.409,1030.49,1,0,1,7299,51,44,88,79.5687,68.7752,38.8335,12.1848,8.88383,6.57615, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1906.4,1009.29,1,0,1,4111,39,40,89,175.499,146.185,88.7353,24.4321,18.5111,11.934, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1227.65,982.804,1,0,1,8021,52,42,78,113.165,97.0408,59.7078,18.0278,12.1262,6.68218, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,654.084,960.64,0,0,1,3804,44,44,89,82.7484,70.5849,40.0521,14.4744,10.1276,6.77108, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2062.5,844.5,1,0,1,454,13,38,99,161.077,129.425,70.5903,9.89839,8.29446,5.07901, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,968.995,783.154,1,0,1,6096,45,42,85,90.1248,77.2418,44.5838,14.3253,9.81307,5.91264, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1859.81,687.528,1,0,1,8362,54,42,87,139.449,116.544,67.7294,22.9802,16.8867,8.80802, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,951.906,625.33,1,0,1,6513,48,44,86,84.6421,73.1915,41.5888,14.4691,9.70089,6.11887, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1191.57,595.405,1,0,1,9547,61,42,86,94.5108,80.8502,47.0677,16.0388,10.8049,6.02421, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1346.07,570.651,1,0,1,8569,54,42,84,102.954,88.075,52.1656,17.3508,11.9499,6.3183, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,998.25,500.25,1,0,1,7062,49,44,86,83.2351,71.9941,41.017,13.174,9.13833,6.13403, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1272.26,481.051,1,0,1,3294,34,40,90,101.937,85.4985,48.9505,15.0707,10.1649,5.64636, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1676.44,495.107,1,0,1,8326,54,40,88,120.605,100.859,59.056,20.4602,13.9909,7.42339, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2091,492.5,1,0,1,6881,48,40,95,114.11,92.723,51.7053,20.5717,13.8694,7.01181, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1532.73,470.154,1,0,1,2784,31,40,91,122.033,100.662,58.1074,18.205,12.3545,6.26486, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1142.43,463.956,1,0,1,3797,37,42,91,95.3282,79.9492,45.3658,14.9644,10.0486,5.82637, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1072.8,448.339,1,0,1,1053,20,42,90,94.2915,79.2118,45.34,10.3921,7.12809,4.68827, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,40,382.5,0,0,1,416,12,68,39,28.5913,30.4904,22.1274,14.0633,14.3317,9.31765, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1324.96,370.956,1,0,1,3153,33,40,92,103.75,86.2195,49.0377,16.4078,10.91,5.93152, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1493.88,356.267,1,0,1,6676,48,42,88,105.245,88.0794,51.2824,18.2341,12.3368,6.41605, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,2045.06,342.17,1,0,1,5240,42,42,92,95.8101,79.5441,45.2658,10.1464,7.57014,4.74499, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,979.105,339.18,0,0,1,4412,42,44,84,87.151,75.2967,43.7108,14.3228,10.2365,6.18338, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1248,323,1,0,1,7352,50,42,86,88.8758,75.9389,43.7004,14.0223,9.8216,6.17168, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1791.43,320.257,1,0,1,6967,49,40,92,113.04,93.0934,53.3007,19.9334,13.5513,6.93168, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 1,1489.86,255.185,1,0,1,5184,42,40,87,101.798,85.3746,49.767,15.03,10.6527,6.03768, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,1617.62,154.423,0,0,1,5821,49,40,91,108.409,89.1934,51.051,17.7772,12.5589,6.42044, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-5.JPG", 0,2436.5,14,0,0,1,688,16,36,219,40.359,24.8663,3.08285,18.6672,11.2976,4.03523, "2018-11-13 [10:06:57 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1129.75,1787.75,1,0,4,467,16,40,93,86.2912,71.1884,39.8715,6.36393,4.68207,3.88476, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1914.92,1682.82,1,0,2,9021,56,38,90,113.134,92.2822,54.1278,20.5967,14.171,7.34323, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,2016,1681.5,1,0,2,6036,47,38,93,116.081,93.5674,53.7631,19.1576,13.3586,7.08705, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1468,1418,1,0,4,912,17,42,80,111.274,94.5855,58.1151,9.51131,6.81677,4.54373, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1336.02,1418.8,1,0,2,8529,54,40,79,109.777,93.3108,58.049,14.4716,10.0924,5.67957, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1383.11,1323.17,1,0,2,7846,53,42,80,122.225,103.63,63.7842,22.3623,15.758,8.23527, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1698,1329.5,1,0,4,6058,49,42,76,131.463,112.288,70.5721,15.2075,11.0292,6.45147, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1655.85,1327.66,1,0,4,749,18,42,72,121.278,104.899,67.6115,5.02035,3.61512,3.20569, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1620.82,1321.55,1,0,4,3168,36,42,74,123.583,106.835,67.9485,8.90681,6.49163,4.22566, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,2393.95,1114.47,0,0,2,680,17,42,104,88.0206,72.5015,36.8574,4.9013,2.9105,2.89161, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,683.5,899.5,1,0,3,6711,50,44,86,78.6302,68.2673,39.4496,10.4938,7.5151,5.55282, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,754.012,861.127,1,0,3,5310,43,48,83,75.0992,66.5218,38.0081,11.1848,8.00762,5.76701, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,671.466,762.477,0,0,2,1054,23,44,80,82.3102,71.8017,42.6945,9.84719,6.62081,4.54527, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1068.96,692.009,1,0,4,1056,23,46,79,80.2576,70.928,41.9934,5.20564,3.87994,3.72422, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1056.45,662.792,1,0,4,2349,31,44,82,85.9608,75.0668,44.0179,8.34448,6.29168,4.3052, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1102.08,628.929,1,0,4,3789,37,44,82,86.1454,74.8754,44.0895,8.54665,6.43736,4.39836, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1652.6,611.759,1,0,3,1802,25,40,93,154.17,126.409,72.2514,19.3057,14.0971,7.42662, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1187.5,587,1,0,2,2996,33,42,87,97.6806,82.5965,47.9289,11.9254,8.08081,5.16578, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1227.66,526.427,1,0,2,8139,53,44,85,94.0883,80.5099,47.3899,14.9547,10.3409,5.69356, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,2104.09,493.124,1,0,3,6500,47,40,93,106.952,87.9817,50.3335,18.1613,12.2205,6.76641, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,2037.4,435.2,1,0,3,7350,51,40,92,109.451,89.5629,50.7199,20.8411,14.0966,7.25749, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1234.6,401.8,1,0,3,4658,44,42,85,87.8053,75.3119,43.6934,13.9891,9.63458,6.11714, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1160.38,377.264,1,0,3,3747,41,42,85,83.6368,72.1951,41.8316,9.53916,6.94168,5.11078, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1934.12,282.769,1,0,2,6315,51,40,94,107.949,87.8374,49.9778,22.7575,15.3983,8.009, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1280.29,246.546,1,0,3,4977,43,42,85,84.1193,72.4788,42.4456,15.1387,10.2286,6.52295, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1285,169.5,0,0,3,7318,55,42,85,89.9311,77.3756,45.3442,13.2018,9.72697,5.8396, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 0,1348.43,1838.48,0,0,1,6181,49,38,94,94.57,76.6043,44.156,15.2035,10.4743,6.38566, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1251.93,1803.87,1,0,1,5452,42,38,94,94.6937,76.7687,43.9584,13.5018,9.52754,5.86968, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1163.14,1660.98,1,0,1,2574,31,40,91,98.7716,80.6014,46.824,13.5734,9.21754,5.47202, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1233.03,1655.9,1,0,1,3530,35,40,88,98.8629,81.7365,48.2722,14.0576,9.76429,5.7707, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1696.33,1579.31,1,0,1,6078,45,40,87,120.152,99.447,59.4353,19.4936,13.1795,7.52903, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1000,1580.5,1,0,1,5645,43,40,91,90.7157,75.0802,43.0558,14.3791,9.87656,6.34787, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1227.21,1564.75,1,0,1,7111,49,40,85,100.123,83.3033,49.9634,17.6113,11.8188,6.42359, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1672.05,1474.67,1,0,1,7508,51,40,85,126.125,104.96,63.3146,20.9912,14.6195,7.67228, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1067.66,1411.09,1,0,1,7933,51,42,86,95.2563,80.0831,47.3185,15.8833,10.6948,6.04928, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1559.31,1379.11,1,0,1,3559,35,40,84,136.741,113.994,69.2607,19.4267,13.787,7.27572, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1914.9,1393.66,1,0,1,8516,54,40,88,134.51,111.018,66.1303,24.4218,17.3084,8.83939, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1577.75,1260.25,1,0,1,4838,41,40,77,142.27,121.458,76.0194,19.8696,14.9826,8.37783, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1080.3,1260.03,1,0,1,10305,59,40,84,98.6208,83.2213,49.9605,16.9932,11.4163,6.10861, "2018-11-13 [10:10:15 PM]: no comment"
"C:\Users\jt_laptop\Dropbox\protein G structure\plate_images\G45\24Oct18\45-6.JPG", 1,1813.36,1221.37,1,0,1,7882,52,40,80,155.439,131.357,81.3623,21.573,16.7018,10.1133, "2018-11-13 [10:10:15 PM]: no comment"
